itemurl,imgurl,status,idate,cdate
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_oishiikon.png,,2014-05-19 17:07:55.382827,2014-05-28 20:15:19
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_pure.png,,2014-05-19 17:07:55.24098,2014-05-28 20:15:19
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/title_news.jpg,,2014-05-19 17:07:54.882567,2014-05-28 20:15:24
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_ptop.gif,,2014-05-19 17:07:54.907706,2014-05-28 20:15:24
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_b4.jpg,,2014-05-19 17:07:54.857747,2014-05-28 20:15:24
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_cal0kcal290g.png,,2014-05-19 17:07:55.308023,2014-05-28 20:15:19
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_bnr.jpg,,2014-05-19 17:07:54.816,2014-05-28 20:15:23
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_enb.png,,2014-05-19 17:07:54.899376,2014-05-28 20:15:24
http://www.nipponham.co.jp/news/2014/20140512/,http://www.nipponham.co.jp/shared/image/megadrop/recipe/btn12.png,,2014-05-24 10:45:23.005422,2014-05-28 20:26:05
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_variety.png,,2014-05-19 17:07:55.416184,2014-05-28 20:15:19
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_b3.jpg,,2014-05-19 17:07:54.849205,2014-05-28 20:15:24
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_h.gif,,2014-05-19 17:07:54.79371,2014-05-28 20:15:23
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_kudamono.png,,2014-05-19 17:07:55.015994,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/jellys/image/cv.gif,,2014-05-19 17:07:55.615927,2014-05-28 20:15:19
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_amakoi.png,,2014-05-19 17:07:55.099687,2014-05-28 20:15:18
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_cb1.gif,,2014-05-19 17:07:54.824245,2014-05-28 20:15:23
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_h.gif,,2014-05-19 17:07:54.924339,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_b4.jpg,,2014-05-19 17:07:54.974339,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_w_bottom.gif,,2014-05-19 17:07:55.62422,2014-05-28 20:15:19
http://pocky.jp/products/summer/coconut.html,http://pocky.jp/common/pockynavi_img/logo_stf.gif,,2014-05-27 20:21:52.644469,2014-05-28 20:22:49
http://www.maruchan.co.jp/news_topics/entry/2014/04/10000quo1000.html,http://www.maruchan.co.jp/common/images/foot_pagetop.gif,,2014-05-16 07:34:11.150803,2014-05-28 20:24:15
http://www.maruchan.co.jp/news_topics/entry/2014/04/10000quo1000.html,http://www.maruchan.co.jp/common/images/foot_m_ttl.gif,,2014-05-16 07:34:11.159067,2014-05-28 20:24:15
http://www.maruchan.co.jp/news_topics/entry/2014/04/10000quo1000.html,http://www.maruchan.co.jp/common/images/foot_mobile_qr.gif,,2014-05-16 07:34:11.175616,2014-05-28 20:24:15
http://www.maruchan.co.jp/news_topics/entry/2014/04/10000quo1000.html,http://www.maruchan.co.jp/common/images/foot_sp_ttl.gif,,2014-05-16 07:34:11.184176,2014-05-28 20:24:15
http://www.maruchan.co.jp/news_topics/entry/2014/04/10000quo1000.html,http://www.maruchan.co.jp/common/images/foot_sp_qr.gif,,2014-05-16 07:34:11.192921,2014-05-28 20:24:15
http://www.maruchan.co.jp/news_topics/entry/2014/04/10000quo1000.html,http://www.maruchan.co.jp/common/images/copyright.gif,,2014-05-16 07:34:11.200745,2014-05-28 20:24:15
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_b5.jpg,,2014-05-19 17:07:54.990879,2014-05-28 20:15:18
http://www.nipponham.co.jp/news/2014/20140512/,http://www.nipponham.co.jp/shared/image/megadrop/quality/btn01.png,,2014-05-24 10:45:23.248134,2014-05-28 20:26:05
http://www.nipponham.co.jp/news/2014/20140512/,http://www.nipponham.co.jp/shared/image/megadrop/csr/btn07.png,,2014-05-24 10:45:23.439857,2014-05-28 20:26:06
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_gorotto.png,,2014-05-19 17:07:55.057801,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/jellys/image/new.gif,,2014-05-19 17:07:55.049261,2014-05-28 20:15:19
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_sweet.png,,2014-05-19 17:07:55.157907,2014-05-28 20:15:18
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_w_bottom.gif,,2014-05-19 17:07:54.891024,2014-05-28 20:15:24
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_b6.jpg,,2014-05-19 17:07:54.874223,2014-05-28 20:15:24
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_b2.jpg,,2014-05-19 17:07:54.840873,2014-05-28 20:15:24
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_b6.jpg,,2014-05-19 17:07:54.999456,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/c_dossari.png,,2014-05-19 17:07:55.215964,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/title_lineup.jpg,,2014-05-19 17:07:55.007795,2014-05-28 20:15:18
http://www.nipponham.co.jp/news/2014/20140512/,http://www.nipponham.co.jp/shared/image/megadrop/group/btn17.png,,2014-05-24 10:45:23.731574,2014-05-28 20:26:06
http://www.nipponham.co.jp/news/2014/20140512/,http://www.nipponham.co.jp/shared/image/footer_logo_nipponhamgroup.gif,,2014-05-24 10:45:24.181676,2014-05-28 20:26:07
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_b1.jpg,,2014-05-19 17:07:54.832816,2014-05-28 20:15:23
http://www.tarami.co.jp/pressrelease,http://www.tarami.co.jp/image/f_header_b5.jpg,,2014-05-19 17:07:54.865853,2014-05-28 20:15:24
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_enb.png,,2014-05-19 17:07:55.632778,2014-05-28 20:15:19
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_ptop.gif,,2014-05-19 17:07:55.640868,2014-05-28 20:15:19
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_copyright.gif,,2014-05-19 17:07:55.649297,2014-05-28 20:15:19
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_bnr.jpg,,2014-05-19 17:07:54.932672,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_cb1.gif,,2014-05-19 17:07:54.941113,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_b1.jpg,,2014-05-19 17:07:54.949303,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_b2.jpg,,2014-05-19 17:07:54.957654,2014-05-28 20:15:18
http://www.tarami.co.jp/jellys/jellys-variety/post-480.html,http://www.tarami.co.jp/image/f_header_b3.jpg,,2014-05-19 17:07:54.965985,2014-05-28 20:15:18
http://www.maruchan.co.jp/news_topics/entry/2014/04/10000quo1000.html,http://www.maruchan.co.jp/common/images/foot_mobile_ttl.gif,,2014-05-16 07:34:11.167316,2014-05-28 20:24:15
http://www.maruchan.co.jp/news_topics/entry/2014/03/post_948.html,http://www.maruchan.co.jp/common/images/gnav_recruit_c.gif,,2014-05-16 07:34:12.987278,2014-05-16 11:36:27
http://www.maruchan.co.jp/news_topics/entry/2014/03/post_948.html,http://www.maruchan.co.jp/news_topics/images/news_ttl.gif,,2014-05-16 07:34:12.992869,2014-05-16 11:36:28
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/foot_smiles_for_all.gif,,2014-05-16 07:34:11.667793,2014-05-28 20:24:16
http://www.nipponham.co.jp/news/2014/20140510-2/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn06.png,,2014-05-24 10:45:24.323519,2014-05-28 20:26:07
http://www.nipponham.co.jp/news/2014/20140510-2/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn15.png,,2014-05-24 10:45:24.406834,2014-05-28 20:26:08
http://www.nipponham.co.jp/news/2014/20140510-2/,http://www.nipponham.co.jp/shared/image/megadrop/recipe/btn11.png,,2014-05-24 10:45:24.748629,2014-05-28 20:26:09
http://www.maruchan.co.jp/news_topics/entry/2014/04/post_955.html,http://www.maruchan.co.jp/common/images/copyright.gif,,2014-05-16 07:34:11.659189,2014-05-28 20:24:16
http://www.nipponham.co.jp/news/2014/20140510-2/,http://www.nipponham.co.jp/shared/image/megadrop/fun/btn13.png,,2014-05-24 10:45:24.990424,2014-05-28 20:26:09
http://www.nipponham.co.jp/news/2014/20140510-2/,http://www.nipponham.co.jp/shared/image/megadrop/csr/btn05.png,,2014-05-24 10:45:25.173797,2014-05-28 20:26:09
http://www.nipponham.co.jp/news/2014/20140510-2/,http://www.nipponham.co.jp/shared/image/megadrop/csr/btn18.png,,2014-05-24 10:45:25.30737,2014-05-28 20:26:10
http://www.nipponham.co.jp/news/2014/20140510-2/,http://www.nipponham.co.jp/shared/image/footer_ttl_related.gif,,2014-05-24 10:45:25.890906,2014-05-28 20:26:11
http://www.nipponham.co.jp/news/2014/20140408/,http://www.nipponham.co.jp/shared/image/toolbar_pagetop.png,,2014-05-24 10:45:29.700821,2014-05-28 20:26:17
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn02.png,,2014-05-24 10:45:29.742897,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/txt02.png,,2014-05-24 10:45:29.751321,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn03.png,,2014-05-24 10:45:29.759302,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/txt04.png,,2014-05-24 10:45:29.767628,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn04.png,,2014-05-24 10:45:29.775947,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn05.png,,2014-05-24 10:45:29.784275,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn06.png,,2014-05-24 10:45:29.792574,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn07.png,,2014-05-24 10:45:29.800921,2014-05-28 20:26:18
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn08.png,,2014-05-24 10:45:29.809234,2014-05-28 20:26:18
